"queryId, CPU, Memory, Disk_I/O, duration, power"
0,20.015625,-13.57421875,1745.7939453125,7.679806232452393, 40
1,242.35937499999272,786.69921875,4066.31298828125,194.0468921661377, 25
2,14.0,-310.17578125,4628.5830078125,22.069854736328125, 35
3,8.703125,15.2109375,1830.693359375,9.510807991027832, 32
4,6.171875,-73.44140625,1864.99169921875,6.949700593948364, 30
5,8.484375,-184.15234375,2068.91748046875,8.594001054763794, 30
6,7.21875,129.68359375,2076.88037109375,8.523667812347412, 32
7,0.203125,5.76171875,26.2451171875,0.1313493251800537, 31
8,10.921875,99.91015625,2082.7314453125,9.151841163635254, 32
